year,state_abbr,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape,violent_crime_rate,homicide_rate,rape_rate,robbery_rate,aggravated_assault_rate,property_crime_rate,burglary_rate,larceny_rate,motor_vehicle_theft_rate
1979,NC,North Carolina,5606000,25009,600,4327,18945,220113,72687,134903,12523,1137.0,446.11130931145203,10.702818408847664,20.28184088476632,77.18515875847307,337.94149125936497,3926.3824473778095,1296.5929361398503,2406.403853014627,223.38565822333211
1979,ND,North Dakota,657000,403,10,65,274,17703,3029,13607,1067,54.0,61.33942161339422,1.5220700152207,8.219178082191782,9.89345509893455,41.70471841704718,2694.5205479452056,461.03500761035014,2071.080669710807,162.4048706240487
1979,NE,Nebraska,1574000,3556,65,1157,1996,59295,12804,42195,4296,338.0,225.92121982210926,4.129606099110546,21.47395171537484,73.50698856416773,126.81067344345615,3767.15374841169,813.4688691232528,2680.7496823379925,272.9351969504447
1979,NH,New Hampshire,887000,1241,21,254,814,39373,10635,25856,2882,152.0,139.9098083427283,2.367531003382187,17.136414881623452,28.6358511837655,91.77001127395717,4438.895152198422,1198.9853438556934,2914.9943630214207,324.9154453213078
1979,NJ,New Jersey,7332000,36747,484,18332,15894,390018,117421,221552,51045,2037.0,501.18657937806876,6.601200218221495,27.782324058919805,250.02727768685213,216.7757774140753,5319.394435351882,1601.4866339334424,3021.7130387343154,696.1947626841244
1979,NM,New Mexico,1241000,7272,154,1502,5034,64563,18385,41745,4433,582.0,585.9790491539081,12.409347300564061,46.897663174858984,121.03142626913778,405.6406124093473,5202.497985495568,1481.4665592264303,3363.8195004029008,357.2119258662369
1979,NV,Nevada,702000,5866,123,2861,2464,56132,19799,31388,4945,418.0,835.6125356125356,17.521367521367523,59.54415954415955,407.5498575498575,350.997150997151,7996.011396011396,2820.3703703703704,4471.225071225072,704.4159544159544
1979,NY,New York,17649000,161906,2092,93471,60949,933234,308302,500589,124343,5394.0,917.3664230268004,11.853362796759022,30.562638109807924,529.61074281829,345.3396793019434,5287.744348121707,1746.8525128902488,2836.359000509944,704.532834721514
1979,OH,Ohio,10731000,49092,865,20909,23909,501389,138128,316162,47099,3409.0,457.4783337992732,8.060758549995342,31.76777560339204,194.84670580560993,222.80309384027584,4672.341813437704,1287.1866554841115,2946.249184605349,438.90597334824344
1979,OK,Oklahoma,2892000,11719,281,2966,7519,124293,42646,69292,12355,953.0,405.2213001383126,9.716459197786998,32.952973720608576,102.5587828492393,259.99308437067776,4297.821576763486,1474.6196403872752,2395.988934993084,427.2130013831259
1979,OR,Oregon,2527000,13781,107,3299,9254,147264,40682,96823,9759,1121.0,545.3502176493867,4.2342698852394145,44.3609022556391,130.55005935892362,366.2049861495845,5827.621685793431,1609.8931539374753,3831.539374752671,386.1891571032845
1979,PA,Pennsylvania,11731000,39133,724,17855,18021,370914,109668,215567,45679,2533.0,333.58622453328786,6.171681868553406,21.592362117466543,152.20356320859264,153.6186173386753,3161.8276361776493,934.8563634813743,1837.5841786718952,389.38709402437985
1979,RI,Rhode Island,929000,3485,30,1019,2295,50114,14400,28347,7367,141.0,375.1345532831001,3.2292787944025836,15.17761033369214,109.68783638320774,247.0398277717976,5394.402583423036,1550.05382131324,3051.345532831001,793.0032292787944
1979,SC,South Carolina,2932000,19889,368,3156,15359,128651,44160,75807,8684,1006.0,678.3424283765348,12.551159618008187,34.31105047748977,107.63983628922237,523.8403819918144,4387.8240109140515,1506.1391541609823,2585.504774897681,296.1800818553888
1979,SD,South Dakota,689000,1096,14,140,829,19297,4316,13782,1199,113.0,159.0711175616836,2.0319303338171264,16.400580551523948,20.319303338171263,120.31930333817127,2800.7256894049347,626.4150943396227,2000.2902757619738,174.02031930333817
1979,TN,Tennessee,4380000,18135,430,7277,8917,157651,56710,84850,16091,1511.0,414.04109589041093,9.817351598173516,34.497716894977174,166.14155251141554,203.58447488584477,3599.337899543379,1294.7488584474886,1937.214611872146,367.3744292237443
1979,TX,Texas,13385000,67988,2235,25667,34043,725109,239758,412515,72836,6043.0,507.94172581247665,16.69779604034367,45.14755323122898,191.75943220022413,254.33694434067985,5417.325364213672,1791.2439297721328,3081.920059768397,544.1613746731416
1979,UT,Utah,1367000,4158,66,1062,2649,70918,16115,50216,4587,381.0,304.1697147037308,4.828090709583028,27.871250914411117,77.68836869056328,193.78200438917338,5187.8566203365035,1178.8588149231896,3673.445501097293,335.5523043160205
1979,VA,Virginia,5197000,15642,447,5799,7989,211014,56265,141923,12826,1407.0,300.9813353857995,8.601116028477968,27.073311525880314,111.58360592649606,153.72330190494515,4060.304021550895,1082.6438329805658,2730.86395997691,246.79622859341927
1979,VT,Vermont,493000,908,7,141,647,25217,7779,15776,1662,113.0,184.1784989858012,1.4198782961460448,22.920892494929006,28.600405679513184,131.23732251521298,5115.010141987829,1577.89046653144,3200.0,337.1196754563894
1979,WA,Washington,3926000,17064,187,4739,10317,239285,70024,152204,17057,1821.0,434.6408558329088,4.763117677024962,46.38308711156394,120.70809984717269,262.7865511971472,6094.880285277636,1783.5965359144168,3876.82119205298,434.4625573102394
1979,WI,Wisconsin,4720000,7839,160,2857,4064,199273,44806,141880,12587,758.0,166.08050847457628,3.389830508474576,16.059322033898304,60.52966101694915,86.10169491525424,4221.885593220339,949.279661016949,3005.93220338983,266.6737288135593
1979,WV,West Virginia,1878000,3156,128,825,1912,40513,11959,24755,3799,291.0,168.05111821086263,6.815761448349308,15.49520766773163,43.929712460063904,101.81043663471777,2157.241746538871,636.7944621938232,1318.157614483493,202.28966986155484
1979,WY,Wyoming,450000,1579,41,190,1224,20129,3887,14607,1635,124.0,350.8888888888889,9.11111111111111,27.555555555555557,42.22222222222222,272.0,4473.111111111111,863.7777777777777,3246.0000000000005,363.33333333333337
1980,AK,Alaska,440142,1919,39,360,1270,22930,5545,14916,2469,250.0,435.9956559473988,8.86077674932181,56.79985095719109,81.79178537835517,288.54324286253075,5209.682329793567,1259.8206942304982,3388.9063075098493,560.9553280532192
1980,AL,Alabama,3861466,17320,509,5102,10551,173191,58952,102029,12210,1158.0,448.5343131339237,13.181522250875705,29.988610543249635,132.12598531231401,273.2381950274844,4485.110059236569,1526.6740662743114,2642.23484034302,316.2011526192384
1980,AR,Arkansas,2284037,7656,210,1848,4989,79390,25559,49558,4273,609.0,335.19597099346464,9.194246853269014,26.663315874480144,80.90937230876733,218.42903595694816,3475.863131814415,1119.0274062985843,2169.754693115742,187.08103240008808
1980,AZ,Arizona,2715357,17673,279,5258,10909,204193,58527,132814,12852,1227.0,650.853644658879,10.274892030771644,45.187428393393574,193.6393630745423,401.7519611601716,7519.932001574747,2155.4071895518714,4891.21688234733,473.3079296755454
1980,CA,California,23532680,210290,3411,90420,102766,1633042,545138,913070,174834,13693.0,893.6083777963241,14.494736681074999,58.187167802392246,384.23163022656155,436.6948430862953,6939.464608365897,2316.5147361031554,3880.0085668100696,742.9413054526726
1980,CO,Colorado,2878407,15215,198,4608,8899,195872,58455,124514,12903,1510.0,528.5909880013494,6.8788048389265315,52.45957225645991,160.08854897865382,309.1640619273091,6804.8750576273615,2030.8107922194465,4325.795483404536,448.26878200337893
1980,CT,Connecticut,3095224,12768,146,6749,5203,169283,52638,95631,21014,670.0,412.506493875726,4.716944557162907,21.646252419857174,218.04560833077025,168.09768856793562,5469.1679826726595,1700.620052054391,3089.6309927811362,678.9169378371323
1980,DC,District of Columbia,635233,12772,200,8897,3236,50896,16260,31068,3568,439.0,2010.6008346543708,31.484510407992026,69.1085003455425,1400.5884454995253,509.419378401311,8012.178208625812,2559.690696169752,4890.803846777482,561.6836656785778
1980,DE,Delaware,594779,2824,41,815,1824,37482,9698,25077,2707,144.0,474.7982023575143,6.893316677286857,24.210673208031892,137.02568517045827,306.6685273017373,6301.836480440634,1630.5215886909257,4216.18786137372,455.1270303759884
1980,FL,Florida,9567112,94095,1387,34015,53254,709730,239825,424223,45682,5439.0,983.5256449386188,14.497582969656884,56.8510120922594,355.5409406725875,556.6361092041151,7418.435155771145,2506.7648418874996,4434.180346169252,477.48996771439494
1980,GA,Georgia,5400851,29993,743,10670,16189,272652,91773,160764,20115,2391.0,555.3384087063316,13.75709124358365,44.27080102746771,197.5614583701717,299.74905806510867,5048.315533977886,1699.2322135900433,2976.642014378845,372.4413060089975
1980,HI,Hawaii,964680,2889,84,1835,635,69291,17822,45564,5905,335.0,299.47754695857697,8.707550690384377,34.72654144379484,190.21851805780153,65.82493676659618,7182.796367707427,1847.4520048098852,4723.224281627068,612.1200812704731
1980,IA,Iowa,2907804,5826,63,1596,3751,132200,31390,93605,7205,416.0,200.35738309734768,2.16658344235031,14.306328762186173,54.88678053954118,128.99769035327003,4546.386207598586,1079.5087977043845,3219.095922558742,247.78148733546
